ExpositionPeriodId;ExpositionId;PeriodStart;PeriodEnd;RemainingTIckets
CA6FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-26 15:30:00.0000000;2020-09-26 16:30:00.0000000;4
AD5D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-27 11:00:00.0000000;2020-09-27 12:00:00.0000000;4
9FCD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-27 12:30:00.0000000;2020-09-27 13:30:00.0000000;4
CC6FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-27 15:30:00.0000000;2020-09-27 16:30:00.0000000;4
AF5D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-28 11:00:00.0000000;2020-09-28 12:00:00.0000000;4
A1CD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-28 12:30:00.0000000;2020-09-28 13:30:00.0000000;4
CE6FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-28 15:30:00.0000000;2020-09-28 16:30:00.0000000;4
B15D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-29 11:00:00.0000000;2020-09-29 12:00:00.0000000;4
A3CD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-29 12:30:00.0000000;2020-09-29 13:30:00.0000000;4
D06FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-29 15:30:00.0000000;2020-09-29 16:30:00.0000000;4
B35D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-30 11:00:00.0000000;2020-09-30 12:00:00.0000000;4
A5CD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-30 12:30:00.0000000;2020-09-30 13:30:00.0000000;4
D26FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-09-30 15:30:00.0000000;2020-09-30 16:30:00.0000000;4
B55D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-01 11:00:00.0000000;2020-10-01 12:00:00.0000000;4
A7CD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-01 12:30:00.0000000;2020-10-01 13:30:00.0000000;4
D46FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-01 15:30:00.0000000;2020-10-01 16:30:00.0000000;4
B75D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-02 11:00:00.0000000;2020-10-02 12:00:00.0000000;4
A9CD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-02 12:30:00.0000000;2020-10-02 13:30:00.0000000;4
D66FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-02 15:30:00.0000000;2020-10-02 16:30:00.0000000;4
B95D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-03 11:00:00.0000000;2020-10-03 12:00:00.0000000;4
ABCD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-03 12:30:00.0000000;2020-10-03 13:30:00.0000000;4
D86FB639-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-03 15:30:00.0000000;2020-10-03 16:30:00.0000000;4
BB5D3826-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-04 11:00:00.0000000;2020-10-04 12:00:00.0000000;4
ADCD9C33-C649-EA11-A2E0-D9C772E4E9DA;87115C7A-9305-E711-80CD-5820B1E20440;2020-10-04 12:30:00.0000000;2020-10-04 13:30:00.0000000;4
